"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 16 11:46:32 CST 2020","Wed Sep 16 11:46:37 CST 2020","5338","interface.sparePartReceipt_test","test_exportSparePartReceipts","TestQueryExportSparePartReceipts","","","test",""
"passed","Wed Sep 16 11:54:14 CST 2020","Wed Sep 16 11:54:45 CST 2020","31197","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_2",""
"passed","Wed Sep 16 11:46:07 CST 2020","Wed Sep 16 11:46:07 CST 2020","2","interface.file_test","test_uploadFile","TestUploadFile","","","test_import_right[upload_file5]",""
"passed","Wed Sep 16 17:35:01 CST 2020","Wed Sep 16 17:35:01 CST 2020","544","interface.thingInspection_test","test_createThingInspection","TestCreateThingInspection","","","test_1[variable0]",""
"passed","Thu Sep 17 18:11:05 CST 2020","Thu Sep 17 18:11:05 CST 2020","498","interface.sparePart_test","test_createSparePart","TestCreateSparePart","","","test_1[variable0]",""
"passed","Wed Sep 16 11:46:52 CST 2020","Wed Sep 16 11:47:03 CST 2020","10086","interface.sparePart_test","test_exportSpareParts","TestQueryExportSpareParts","","","test",""
"passed","Wed Sep 16 11:46:08 CST 2020","Wed Sep 16 11:46:08 CST 2020","3","interface.file_test","test_uploadFile","TestUploadFile","","","test_import_right[upload_file8]",""
"passed","Wed Sep 16 12:02:58 CST 2020","Wed Sep 16 12:03:08 CST 2020","10372","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_12[audit_stop]",""
"passed","Wed Sep 16 11:46:40 CST 2020","Wed Sep 16 11:46:43 CST 2020","3433","interface.sparePartReceipt_test","test_querySparePartReceipts","TestQuerySparePartReceipts","","","test_query_thing",""
"passed","Wed Sep 16 16:09:12 CST 2020","Wed Sep 16 16:09:20 CST 2020","7798","interface.workFlow_test","test_thingInspectionFlow","TestThingInspectionWorkFlow","","","test_1_0",""
"passed","Wed Sep 16 11:57:50 CST 2020","Wed Sep 16 11:58:01 CST 2020","11614","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_9[audit_feed_pass]",""
"passed","Wed Sep 16 17:03:37 CST 2020","Wed Sep 16 17:03:47 CST 2020","10000","interface.workFlow_test","test_thingMaintanenceFlow","TestThingMaintenanceWorkFlow","","","test_5[feed]",""
"passed","Wed Sep 16 11:47:08 CST 2020","Wed Sep 16 11:47:25 CST 2020","17098","interface.sparePart_test","test_querySpareParts","TestQuerySpareParts","","","test_query_thing",""
